"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"1","San Diego, CA","Sacramento, CA","Silver","25-35","Female","1",2011,"6-12","0.059 to 0.3768","Business travel","1+",0,50,"Eco",28,"2/28/14","WN","Cheapseats Airlines Inc.","California","California",6,"LESS THAN 5 MINS","10 MINS TO 20 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-121.3247,38.6386,-117.1288,32.9287,NA
"2","Denver, CO","Salt Lake City, UT","Blue","47-58","Male","1",2009,"13-25","-0.451 to 0.0588","Business travel","1",0,120,"Eco",8,"3/8/14","F9","GoingNorth Airlines Inc.","Utah","Colorado",14,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","1",-111.9295,40.6408,-104.9551,39.7108,NA
"3","Ketchikan, AK","Seattle, WA","Blue","71+","Female","1",2003,"13-25","-0.451 to 0.0588","Personal Travel","0",70,30,"Eco",25,"3/25/14","AS","FlyToSun Airlines Inc.","Washington","Alaska",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-122.2747,47.4684,-131.6563,55.3472,NA
"4","Eagle, CO","New York, NY","Blue","57-71","Male","1",2005,"26-38","-0.451 to 0.0588","Personal Travel","0",60,120,"Eco",10,"1/10/14","AA","Paul Smith Airlines Inc.","New York","Colorado",17,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","0",-73.9702,40.7184,-106.8263,39.6446,NA
"5","Memphis, TN","Chicago, IL","Blue","25-35","Male","1",2007,"13-25","<-0.75","Business travel","1+",10,20,"Eco",2,"2/2/14","WN","Cheapseats Airlines Inc.","Illinois","Tennessee",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-87.8954,41.8271,-89.9179,35.0951,NA
"6","Orlando, FL","Boston, MA","Blue","<24","Female","1",2006,"<6","0.059 to 0.3768","Business travel","1+",0,80,"Eco",6,"1/6/14","B6","OnlyJets Airlines Inc.","Massachusetts","Florida",15,"20 MINS TO 60 MINS","60 MINS TO 180 MINS","No","180+ Minutes","1000.0+ MILES","0",-71.1407,42.3731,-81.4112,28.5844,NA
"7","Austin, TX","Atlanta, GA","Blue","<24","Male","1",2012,"38+","-0.451 to 0.0588","Business travel","0",0,120,"Eco Plus",19,"1/19/14","DL","Sigma Airlines Inc.","Georgia","Texas",16,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-84.3319,33.8241,-97.7615,30.3585,NA
"8","San Francisco, CA","Crescent City, CA","Blue","25-35","Male","2",2003,"13-25","-0.451 to 0.0588","Business travel","0",0,0,"Eco",2,"3/2/14","OO","Northwest Business Airlines Inc.","California","California",13,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","0",-124.1839,41.7843,-122.1585,37.6712,NA
"9","Tampa, FL","Cleveland, OH","Blue","25-35","Male","1",2003,"26-38","<-0.75","Mileage tickets","1",0,95,"Eco",30,"1/30/14","EV","FlyFast Airways Inc.","Ohio","Florida",8,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-81.6054,41.4436,-82.5132,28.0062,NA
"10","Houston, TX","San Diego, CA","Blue","47-58","Male","0",2005,"<6","<-0.75","Business travel","0",0,345,"Eco Plus",29,"1/29/14","OU","Oursin Airlines Inc.","California","Texas",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-117.1288,32.9287,-95.3935,29.7843,NA
