"","Partner.Name","Age","Gender","Airline.Status","Price.Sensitivity","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Class","Flights.Per.Year","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.time.in.minutes","Flight.Distance","Flight.cancelled","Likelihood.to.recommend"
"1","Cheapseats Airlines Inc.","25-35","Female","Silver","1","0.059 to 0.3768","Business travel","1+","Eco","6-12","LESS THAN 5 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2","GoingNorth Airlines Inc.","47-58","Male","Blue","1","-0.451 to 0.0588","Business travel","1","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","0"
"3","FlyToSun Airlines Inc.","71+","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"4","Paul Smith Airlines Inc.","57-71","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","1"
"5","Cheapseats Airlines Inc.","25-35","Male","Blue","1","<-0.75","Business travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"6","OnlyJets Airlines Inc.","<24","Female","Blue","1","0.059 to 0.3768","Business travel","1+","Eco","<6","20 MINS TO 60 MINS","60 MINS TO 180 MINS","180+ Minutes","1000.0+ MILES","No","1"
"7","Sigma Airlines Inc.","<24","Male","Blue","1","-0.451 to 0.0588","Business travel","0","Eco Plus","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"8","Northwest Business Airlines Inc.","25-35","Male","Blue","2","-0.451 to 0.0588","Business travel","0","Eco","13-25","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","1"
"9","FlyFast Airways Inc.","25-35","Male","Blue","1","<-0.75","Mileage tickets","1","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"10","Oursin Airlines Inc.","47-58","Male","Blue","0","<-0.75","Business travel","0","Eco Plus","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"11","Southeast Airlines Co.","25-35","Female","Blue","2","0.3768+","Personal Travel","1+","Business","<6","LESS THAN 5 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"12","FlyHere Airways","36-46","Male","Blue","2","-0.451 to 0.0588","Personal Travel","0","Eco","13-25","5 MINS TO 10 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"13","Northwest Business Airlines Inc.","57-71","Female","Silver","1","-0.451 to 0.0588","Business travel","1","Eco","13-25","0-60 Mins","180+ Minutes","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"14","Sigma Airlines Inc.","<24","Female","Blue","2","-0.451 to 0.0588","Mileage tickets","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"15","Southeast Airlines Co.","<24","Male","Blue","1","-0.451 to 0.0588","Business travel","1+","Eco","38+","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","1"
"16","Southeast Airlines Co.","36-46","Female","Blue","2","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"17","FlyHere Airways","25-35","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco Plus","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"18","Cheapseats Airlines Inc.","25-35","Female","Silver","1","-0.451 to 0.0588","Business travel","1","Eco","13-25","0-60 Mins","60 MINS TO 180 MINS","180+ Minutes","1000.0+ MILES","No","0"
"19","Oursin Airlines Inc.","57-71","Male","Blue","1","0.3768+","Business travel","0","Eco","<6","0-60 Mins","180+ Minutes","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"20","Sigma Airlines Inc.","47-58","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Business","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
